(1.0, 49.9, 57.9)
(5.0, 60.5, 70.5)
(8.0, 60.5, 70.5)
(12.0, 60.6, 70.5)
(16.0, 60.6, 70.5)
(19.0, 60.6, 70.5)
(22.0, 60.6, 70.5)
(24.0, 60.6, 70.5)
(28.0, 60.6, 70.5)
(32.0, 60.6, 70.5)
(35.0, 60.7, 70.7)
(37.0, 60.7, 70.7)
(40.0, 60.7, 70.7)
(44.0, 60.7, 70.7)
(48.0, 61.0, 70.7)
(52.0, 61.0, 70.7)
(55.0, 61.0, 70.7)
(59.0, 61.0, 70.7)
(62.0, 61.0, 70.7)
(65.0, 61.0, 70.7)
(68.0, 61.0, 70.7)
(71.0, 61.0, 70.7)
(75.0, 61.0, 70.7)
(78.0, 61.0, 70.7)
(82.0, 61.0, 70.7)
(86.0, 61.0, 70.7)
(90.0, 61.0, 70.7)
(94.0, 61.0, 70.7)
(98.0, 61.0, 70.7)
(101.0, 61.0, 70.7)
(105.0, 61.0, 70.7)
(109.0, 61.0, 70.7)
(113.0, 61.0, 70.7)
(117.0, 61.0, 70.7)
(121.0, 61.0, 70.7)
(124.0, 61.0, 70.7)
(127.0, 61.0, 70.7)
(131.0, 61.0, 70.7)
(135.0, 61.0, 70.7)
(139.0, 61.0, 70.7)
(142.0, 61.0, 70.7)
(146.0, 61.0, 70.7)
(149.0, 61.0, 70.7)
(152.0, 61.0, 70.7)
(156.0, 61.0, 70.7)
(160.0, 61.0, 70.7)
(164.0, 61.0, 70.7)
(168.0, 61.0, 70.7)
(171.0, 61.0, 70.7)
(175.0, 61.0, 70.7)
(179.0, 61.0, 70.7)
(183.0, 61.0, 70.7)
(187.0, 61.0, 70.7)
(191.0, 61.0, 70.7)
(194.0, 61.0, 70.7)
(198.0, 61.0, 70.7)
(202.0, 61.0, 70.7)
(206.0, 61.0, 70.7)
(209.0, 61.0, 70.7)
(213.0, 61.0, 70.7)
(216.0, 61.0, 70.7)
(220.0, 61.0, 70.7)
(224.0, 61.0, 70.7)
(228.0, 61.0, 70.7)
(232.0, 61.0, 70.7)
(235.0, 61.0, 70.7)
(239.0, 61.0, 70.7)
(243.0, 61.0, 70.7)
(247.0, 61.0, 70.7)
(251.0, 61.0, 70.7)
(255.0, 61.0, 70.7)
(259.0, 61.0, 70.7)
(262.0, 61.0, 70.7)
(266.0, 61.0, 70.7)
(270.0, 61.0, 70.7)
(274.0, 61.0, 70.7)
(278.0, 61.0, 70.7)
(282.0, 61.0, 70.7)
(285.0, 61.0, 70.7)
(289.0, 61.0, 70.7)
(293.0, 61.0, 70.7)
(297.0, 61.0, 70.7)
(301.0, 61.0, 70.7)
(303.0, 61.0, 70.7)
(307.0, 61.0, 70.7)
