(48.0, 32.7, 42.4)
(63.0, 32.7, 42.4)
(78.0, 32.7, 42.4)
(92.0, 33.6, 43.3)
(107.0, 34.5, 44.1)
(122.0, 34.5, 44.1)
(136.0, 34.5, 44.1)
(151.0, 34.5, 44.1)
(163.0, 34.5, 44.1)
(174.0, 34.5, 44.1)
(189.0, 34.5, 44.1)
(203.0, 34.5, 44.1)
(215.0, 34.5, 44.1)
(230.0, 34.5, 44.1)
(245.0, 34.5, 44.1)
(259.0, 34.5, 44.1)
(274.0, 34.5, 44.1)
(289.0, 34.5, 44.1)
(304.0, 34.5, 44.1)
(318.0, 34.5, 44.1)
(333.0, 34.5, 44.1)
(344.0, 34.5, 44.1)
(357.0, 34.5, 44.1)
(372.0, 34.5, 44.1)
(381.0, 34.6, 44.1)
(393.0, 34.6, 44.1)
(408.0, 34.6, 44.1)
(422.0, 34.6, 44.1)
(437.0, 34.6, 44.1)
(452.0, 34.6, 44.1)
(467.0, 34.6, 44.1)
(481.0, 34.6, 44.1)
(495.0, 34.6, 44.1)
(509.0, 34.6, 44.1)
(524.0, 34.6, 44.1)
(537.0, 34.6, 44.1)
(552.0, 34.6, 44.1)
(566.0, 34.6, 44.1)
(581.0, 34.6, 44.1)
(596.0, 34.6, 44.1)
(611.0, 34.6, 44.1)
(625.0, 34.6, 44.1)
(640.0, 34.6, 44.1)
(655.0, 34.6, 44.1)
(670.0, 34.6, 44.1)
(685.0, 34.7, 44.3)
(694.0, 34.7, 44.3)
(709.0, 34.7, 44.3)
(718.0, 34.7, 44.3)
(732.0, 34.7, 44.3)
(747.0, 34.7, 44.3)
(762.0, 34.7, 44.3)
(777.0, 34.7, 44.3)
(791.0, 34.7, 44.3)
(804.0, 34.7, 44.3)
(819.0, 34.7, 44.3)
(833.0, 34.7, 44.3)
(847.0, 34.7, 44.3)
(856.0, 34.7, 44.3)
(869.0, 34.7, 44.3)
(881.0, 34.7, 44.3)
(894.0, 34.7, 44.3)
(909.0, 34.7, 44.3)
(923.0, 34.7, 44.3)
