(50.0, 32.1, 36.7)
(136.0, 32.1, 36.7)
(222.0, 32.1, 36.7)
(307.0, 32.1, 36.7)
(392.0, 32.1, 36.7)
(476.0, 33.1, 37.3)
(572.0, 33.3, 37.5)
(666.0, 33.3, 37.5)
(773.0, 33.3, 37.5)
(863.0, 33.3, 37.5)
(949.0, 33.3, 37.5)
(1037.0, 33.3, 37.5)
(1126.0, 33.3, 37.5)
(1216.0, 33.3, 37.5)
(1309.0, 33.3, 37.5)
(1400.0, 33.3, 37.5)
(1488.0, 33.3, 37.5)
(1578.0, 33.3, 37.5)
(1668.0, 33.3, 37.5)
(1756.0, 33.3, 37.5)
(1841.0, 33.3, 37.5)
(1928.0, 33.3, 37.5)
(2015.0, 33.3, 37.5)
(2104.0, 33.3, 37.5)
(2190.0, 33.3, 37.5)
(2277.0, 33.3, 37.5)
(2364.0, 33.3, 37.5)
(2450.0, 33.3, 37.5)
(2536.0, 33.3, 37.5)
(2622.0, 33.3, 37.5)
(2710.0, 33.3, 37.5)
(2798.0, 33.3, 37.5)
(2888.0, 33.3, 37.5)
(2971.0, 33.3, 37.5)
(3057.0, 33.3, 37.5)
(3143.0, 33.3, 37.5)
(3229.0, 33.3, 37.5)
(3314.0, 33.3, 37.5)
(3400.0, 33.3, 37.5)
(3486.0, 33.3, 37.5)
(3575.0, 33.3, 37.5)
(3660.0, 33.3, 37.5)
(3745.0, 33.3, 37.5)
(3832.0, 33.3, 37.5)
(3918.0, 33.3, 37.5)
(4004.0, 33.3, 37.5)
(4089.0, 33.3, 37.5)
(4174.0, 33.3, 37.5)
(4260.0, 33.3, 37.5)
(4342.0, 33.3, 37.5)
(4423.0, 33.3, 37.5)
(4509.0, 33.3, 37.5)
(4594.0, 33.3, 37.5)
(4677.0, 33.3, 37.5)
(4762.0, 33.3, 37.5)
(4848.0, 33.3, 37.5)
(4934.0, 33.3, 37.5)
(5019.0, 33.3, 37.5)
(5106.0, 33.3, 37.5)
(5192.0, 33.3, 37.5)
(5274.0, 33.3, 37.5)
(5359.0, 33.3, 37.5)
(5444.0, 33.3, 37.5)
(5529.0, 33.3, 37.5)
(5614.0, 33.3, 37.5)
(5701.0, 33.3, 37.5)
(5786.0, 33.3, 37.5)
(5867.0, 33.3, 37.5)
(5950.0, 33.3, 37.5)
(6036.0, 33.3, 37.5)
(6125.0, 33.3, 37.5)
(6210.0, 33.3, 37.5)
(6296.0, 33.3, 37.5)
(6381.0, 33.3, 37.5)
(6466.0, 33.3, 37.5)
(6549.0, 33.3, 37.5)
(6634.0, 33.3, 37.5)
(6719.0, 33.3, 37.5)
(6802.0, 33.3, 37.5)
(6889.0, 33.3, 37.5)
(6973.0, 33.3, 37.5)
(7060.0, 33.3, 37.5)
(7155.0, 33.3, 37.5)
(7242.0, 33.3, 37.5)
(7327.0, 33.3, 37.5)
